Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
ACEH,"KESENIAN, HIBURAN DAN REKREASI",AMAZONE,"BEURAWE, KEC. KUTA ALAM, KOTA BANDA ACEH",082299812449
ACEH,"KESENIAN, HIBURAN DAN REKREASI",ARMADA FUTSAL,"JL SYAH KUALA, KUTA PADANG, KEC. JOHAN PAHLAWAN, KAB. ACEH BARAT 23614",081269882222
ACEH,"KESENIAN, HIBURAN DAN REKREASI","FANTASI ERESTAMA GEMILANG, PT <AMAZONE>","JL T UMAR DSN SEROJA, LAMTEMEN TIMUR, KEC. JAYA BARU, KOTA BANDA ACEH 23230",0651-8011029
ACEH,"KESENIAN, HIBURAN DAN REKREASI",FUNLAND,"JL T NYAK ARIF, KOTA BIREUN, KEC. KOTA JUANG, KAB. BIREUEN 24211",
ACEH,"KESENIAN, HIBURAN DAN REKREASI","MAHATRI MEDIA TAMA, PT","JL TAKENGON BINTANG DSN WIH BENGI, KELITU, KEC. BINTANG, KAB. ACEH TENGAH 24571",085361116510
ACEH,"KESENIAN, HIBURAN DAN REKREASI",MUSEUM TSUNAMI,"JL SULTAN ISKANDAR MUDA NO 3 , SUKARAMAI, KEC. BAITURRAHMAN, KOTA BANDA ACEH 23243",0651-40744
ACEH,"KESENIAN, HIBURAN DAN REKREASI",WIM 69,"DSN TUMPOK BUNG, LAM ARA EUNGKIT, KEC. KUTA MALAKA, KAB. ACEH BESAR",085260034473
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",AMAZON MARELAN,"SUZUYA MARELAN PLAZA, TANAH ENAM RATUS, KEC. MEDAN MARELAN, KOTA MEDAN 20245",061-888108151
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",AMAZONE,"JL BALAI KOTA MERDEKA WALK, KESAWAN, KEC. MEDAN BARAT, KOTA MEDAN 20112",061-4570325
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",AMAZONE,"MALL CENTRE POINT LANTAL 3A, JL JAWA NO 8, GANG BUNTU, KEC. MEDAN TIMUR, KOTA MEDAN 20231",061-80510501
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",AMAZONE,"LT 4 SUN PLAZA, MADRAS HULU, KEC. MEDAN POLONIA, KOTA MEDAN",061-4501583
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI","BEST FITNESS, PT","PLAZA MEDAN FAIR, S E K I P, KEC. MEDAN PETISAH, KOTA MEDAN 20113",061-849100
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI","BODY FITNES GYM, PT","JL RING ROAD NO 105 E LK 22, TANJUNG REJO, KEC. MEDAN SUNGGAL, KOTA MEDAN 20122",08116512789
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",BODY WORKS,"JL JAWA NO 8 MALL CENTRE POINT LT.2, GANG BUNTU, KEC. MEDAN TIMUR, KOTA MEDAN 20231",061-80510048
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI","CAKRAWALA DINAMIKA SEMESTA, PT","GD CAPITAL, JL PUTRI HIJAU NO 1A , KESAWAN, KEC. MEDAN BARAT, KOTA MEDAN 20111",061-4558148
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",CELEBRITY FITNES,"LT 4 NO BOG SUN PLAZA, MADRAS HULU, KEC. MEDAN POLONIA, KOTA MEDAN",061-4501990
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",CHARLY KARAOKE,"JL B KATAMSO KOMP CENTRIUM , A U R, KEC. MEDAN MAIMUN, KOTA MEDAN 20151",061-4552206
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI","CINEMA XX, PT","JL KH ZAINUL ARIFIN LV 4 ZONE A-12 SUN, MADRAS HULU, KEC. MEDAN POLONIA, KOTA MEDAN",061-4501561
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",CINEMA XXI,"MALL CENTRE POINT LANTAI 3A, JL JAWA NO 8, GANG BUNTU, KEC. MEDAN TIMUR, KOTA MEDAN 20231",061-80510321; 061-80510521
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",DE TONES,"MALL CENTRE POINT LANTAL 6, JL JAWA NO 8, GANG BUNTU, KEC. MEDAN TIMUR, KOTA MEDAN 20231",061-80510618
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI","ELECTRONIC MEGAINDO, PT","PLAZA MEDAN FAIR L T 4, S E K I P, KEC. MEDAN PETISAH, KOTA MEDAN 20113",061-4140440
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI","ELEKTRONIK MEGA INDO, PT","PLAZA MEDAN FAIR, S E K I P, KEC. MEDAN PETISAH, KOTA MEDAN",061-4140440
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",EMI INTERACTIVE GAMES,"BINJAI SUPERMALL LT UG, JL SOEKARNO HATTA, TIMBANG LANGKAT, KEC. BINJAI TIMUR, KOTA BINJAI 20732",061-8820122
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",FAMILY FITNES,"JL KAPTEN MUSLIM NOMOR 111, DWI KORA, KEC. MEDAN HELVETIA, KOTA MEDAN 20118",061-80440578
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",FAMILY FITNESS,"JL S. PARMAN NO 21 F, PETISAH TENGAH, KEC. MEDAN PETISAH, KOTA MEDAN 20152",061-4577215
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",FAMILY FITNESS,"JL THAMRIN THAMRIN PLAZA LT 1, SEI RENGAS II, KEC. MEDAN AREA, KOTA MEDAN 20214",061-7351135
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",FAMILY FITNESS,"KOMP TASBI II BLOK XI RINGROAD, ASAM KUMBANG, KEC. MEDAN SELAYANG, KOTA MEDAN 20133",061-88802272
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",FAMILY MMA,"JL IMAM BONJOL NO 9 GD PLAZA CIMB, PETISAH TENGAH, KEC. MEDAN PETISAH, KOTA MEDAN 20112",061-888129
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",FUN LAND,"JL AHMAD YANI, BAKARAN BATU, KEC. RANTAU SELATAN, KAB. LABUHAN BATU",
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",HAPPY KIDDY,"JL S.PARMAN NO 217 CAMBRIDGE CITY SQUARE, PETISAH TENGAH, KEC. MEDAN PETISAH, KOTA MEDAN",
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",HAPPY KIDDY,"JL SM.RAJA, BAKARAN BATU, KEC. RANTAU SELATAN, KAB. LABUHAN BATU",085335659469
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",HAPPY PUPPY,"JL TEUKU UMAR , PETISAH TENGAH, KEC. MEDAN PETISAH, KOTA MEDAN 20112",
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",HER BEST,"JL JAWA NO 8 MEDAN MALL CENTRE POINT, GANG BUNTU, KEC. MEDAN TIMUR, KOTA MEDAN",
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",HILL PARK,"JL LETJEN JAMIN GINTING KM 45, SUKA MAKMUR, KEC. SIBOLANGIT, KAB. DELI SERDANG 20357",0628-97610; 0628-97024
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",HOME FAMILY KARAOKE,"JL KPT PATTIMURA NO 66, D A R A T, KEC. MEDAN BARU, KOTA MEDAN 20153",
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",INUL VIZTA,"KOMP TASBI II BLOK XI RINGROAD, ASAM KUMBANG, KEC. MEDAN SELAYANG, KOTA MEDAN 20133",061-88825288
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",INUL VIZTA,"KOMP CENTRE POINT BLOK M NO 10-12, GANG BUNTU, KEC. MEDAN TIMUR, KOTA MEDAN 20231",061-00510073
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",IZONE,"JL HM JONI NO 1 LK 10, TELADAN TIMUR, KEC. MEDAN KOTA, KOTA MEDAN 20217",061-73359930
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",IZONE,"JL HM JONI NO 1 LK 10, TELADAN TIMUR, KEC. MEDAN KOTA, KOTA MEDAN 20277",061-73359930
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",JB KARAOKE & LOUNGE,"LK 3, PUDUN JAE, KEC. PADANGSIDIMPUAN BATUNADUA, KOTA PADANGSIDIMPUAN 22733",
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",JET PLANE EXECUTIVE MUSIC ROOM,"JL IMAM BONJOL NO 17 RT. 01/RW. 10, H A M D A N, KEC. MEDAN MAIMUN, KOTA MEDAN 20151",
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",K2,"KOMP MULTATULI BLOK AA NO 60 RT. 01/RW. 01, H A M D A N, KEC. MEDAN MAIMUN, KOTA MEDAN 20151",
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",K2 KAROKE KELUARGA,"KOMP SETIA BUDI POINT BLOK D NO 18, TANJUNG SARI, KEC. MEDAN SELAYANG, KOTA MEDAN 20132",085922111991
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",KANTOR PERPUSTAKAAN ARSIP DAN DOKUMENTASI KAB ASAHAN,"JL COKROAMINOTO NOBOA, KISARAN KOTA, KEC. KISARAN BARAT, KAB. ASAHAN 21215",
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",KARAOKE 89,"JL GAGAK HITAM RINGROAD LK 20, TANJUNG REJO, KEC. MEDAN SUNGGAL, KOTA MEDAN 20122",081260003000
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",KOLAM RENANG BHP,"JL HAJI ADAM MALIK PERUM BHP, PADANG BULAN, KEC. RANTAU UTARA, KAB. LABUHAN BATU",081370721388
SUMATERA UTARA,"KESENIAN, HIBURAN DAN REKREASI",KOLAM RENANG CLUB HOUSE,"JL MUTIARA, MEDAN ESTATE, KEC. PERCUT SEI TUAN, KAB. DELI SERDANG 20371",061-6641006
