Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
ACEH,INDUSTRI PENGOLAHAN,"AM GROUP PERKASA, PT","PELABUHAN PERIKANAN SAMUDRA , LAMPULO, KEC. KUTA ALAM, KOTA BANDA ACEH 23127",081370227729
ACEH,INDUSTRI PENGOLAHAN,"AMP PLANTATION, PT","JL MOHD HASAN LAMPEUNEURUT, LAMPEUNEURUT GAMPONG, KEC. DARUL IMARAH, KAB. ACEH BESAR 23352",0651-8016222
ACEH,INDUSTRI PENGOLAHAN,"DELIMA MAKMUR, PT","JL TELAGA BAKTI, SITUBAN MAKMUR, KEC. DANAU PARIS, KAB. ACEH SINGKIL",
ACEH,INDUSTRI PENGOLAHAN,"ENSEM LESTARI, PT","JL LIPAT KAJANG SIBOLGA, KUTA TINGGI, KEC. SIMPANG KANAN, KAB. ACEH SINGKIL 23784",
ACEH,INDUSTRI PENGOLAHAN,"GLOBAL SAWIT SEMESTA, PT","JL SUBULUSSALAM SINGKIL KM 2, DASAN RAJA, KEC. PENANGGALAN, KOTA SUBULUSSALAM",
ACEH,INDUSTRI PENGOLAHAN,"KALISTA ALAM, PT","JL KRUENG SEUMAYAM, ALUE BATEUNG BROOK, KEC. DARUL MAKMUR, KAB. NAGAN RAYA 23662",
ACEH,INDUSTRI PENGOLAHAN,"KARYA SERASI JAYA ABADI, PT","JL ISKANDAR MUDA NO 87, PEUKAN LANGSA, KEC. LANGSA KOTA, KOTA LANGSA 24412",641-21236
ACEH,INDUSTRI PENGOLAHAN,"KARYA TANAH SUBUR, PT","DSN RASA SAYANG, PADANG SIKABU, KEC. KAWAY XVI, KAB. ACEH BARAT 23681",0811681237
ACEH,INDUSTRI PENGOLAHAN,"MAPOLI RAYA, PT","JL MEULABOH TUTUT, ALUE KUYUEN, KEC. WOYLA TIMUR, KAB. ACEH BARAT 23682",
ACEH,INDUSTRI PENGOLAHAN,"MOPOLI RAYA, PT","DSN NILAM AIR PINANG, AIR PINANG, KEC. TAPAK TUAN, KAB. ACEH SELATAN 23711",085275915019
ACEH,INDUSTRI PENGOLAHAN,"MOPOLI RAYA, PT","PERKEBUNAN GD BIARA SERUWAY, PERK GD BIARA, KEC. SERUWAY, KAB. ACEH TAMIANG 24473",
ACEH,INDUSTRI PENGOLAHAN,"NASAFINDO, PT","LAE GOMBAR, SAMAR DUA, KEC. KOTA BAHARU, KAB. ACEH SINGKIL 23784",08138223923
ACEH,INDUSTRI PENGOLAHAN,"PATI SARI, PT","KP SELAMAT, SELAMAT, KEC. TENGGULUN, KAB. ACEH TAMIANG 24477",
ACEH,INDUSTRI PENGOLAHAN,"PERKEBUNAN LEMBAH BAKTI, PT","JL TELAGA BHAKTI KP BARU, TELAGA BAKTI, KEC. SINGKIL UTARA, KAB. ACEH SINGKIL",081268836224
ACEH,INDUSTRI PENGOLAHAN,"PKS BAHARI DWI KENCANA LESTARI, PT","ALUR MANIS, KEBUN RANTAU, KEC. RANTAU, KAB. ACEH TAMIANG 24474",
