Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","ASI PUDJI ASTUTI, PT","DUSUN DAU DAU, SAMBAI, KEC. TELUK DALAM, KAB. SIMEULUE 23891",77473631
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PENGEPUL LOBSTER <RASIM>,"JL. SAMUDERA DUSUN SUKA DAMAI RT. 03, SINABANG, KEC. SIMEULUE TIMUR, KAB. SIMEULUE 23891",62608011
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","AHLUN FAJAR, UD","JL. PEKAN SENIN SITI AMBIA RT. 01, SITI AMBIA, KEC. SINGKIL, KAB. ACEH SINGKIL 24785",70961967
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",ANEKA TOKO <ALFANSURI>,"JL. MAKMUR PULAU BALAI, PULAU BALAI, KEC. PULAU BANYAK, KAB. ACEH SINGKIL 23791",70189494
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","BERKAT SETIA, UD","JL. TR ANGKASA DUSUN 1, LAE BUTAR, KEC. GUNUNG MERIAH, KAB. ACEH SINGKIL 23784",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","ELSA, UD","JL. CUT MUTIA, TUNAS HARAPAN, KEC. GUNUNG MERIAH, KAB. ACEH SINGKIL 23784",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",KELOMPOK TANI SEJAHTERA,"JL. MARIAM SIPOLI DUSUN 3, LAE BUTAR, KEC. GUNUNG MERIAH, KAB. ACEH SINGKIL 23784",62946648
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG SAWIT <JAHRANI>,"JL. SURYA BAKTI DUSUN 2, LAE BUTAR, KEC. GUNUNG MERIAH, KAB. ACEH SINGKIL 23784",61001685
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG SAWIT <KASMINI>,"JL. BAHAGIA, SIDOREJO, KEC. GUNUNG MERIAH, KAB. ACEH SINGKIL 23784",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG SAWIT <POHAN>,"SIOMPIN NO 86 RT. 02, SIOMPIN, KEC. SURO, KAB. ACEH SINGKIL 23784",42682541
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",RAM AMANAH <ZULKIFLI>,"GUNUNG LAGAN, GUNUNG LAGAN, KEC. GUNUNG MERIAH, KAB. ACEH SINGKIL 23784",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","RAM YUDATATNI, UD <ROSO>","JL. JERUK RT. 05, SRI KAYU, KEC. SINGKOHOR, KAB. ACEH SINGKIL 23784",63160865
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","RIZKY, UD <MULYADI>","GUNUNG LAGAN, GUNUNG LAGAN, KEC. GUNUNG MERIAH, KAB. ACEH SINGKIL 23784",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","SINTA, CV","JL. SURYA PULAU BALAI, PULAU BALAI, KEC. PULAU BANYAK, KAB. ACEH SINGKIL 23791",61352202
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","SUBUR JAYA, UD","JL. RINTIS SITI AMBIA RT. 02, SITI AMBIA, KEC. SINGKIL, KAB. ACEH SINGKIL 24785",60550106
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKO BANGUNAN FAJAR P,"JL. BAHARI, PULO SAROK, KEC. SINGKIL, KAB. ACEH SINGKIL 24785",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKO GROSIR <CIBRO>,"JL. BAHARI, PULO SAROK, KEC. SINGKIL, KAB. ACEH SINGKIL 24785",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","ADEK ILHAM, UD","DUSUN SINAR HARAPAN , UJUNG PADANG, KEC. KLUET SELATAN, KAB. ACEH SELATAN 23772",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","ALAM JAYA WIRASENTOSA, PT","JL. T BEN MAHMU\D, HILIR, KEC. TAPAK TUAN, KAB. ACEH SELATAN 23717 8001003",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",INDOMARET,"JL.. T. BEN MAHMUD LINGKUNGAN III <UJUNG> LHOK KEUTAPANG, LHOK KETAPANG, KEC. TAPAK TUAN, KAB. ACEH SELATAN 23718",71766456
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",RAMP BERKAH TANI <WALDI ANSHAR>,"JL. SAED CUT DUSUN PADANG PANYANG, LADANG RIMBA, KEC. BAKONGAN TIMUR, KAB. ACEH SELATAN 23775",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","RAMP BUANA INDAH, CV","JL. TAPAK TUAN MEDAN, DAHRUL IHSAN, KEC. BAKONGAN, KAB. ACEH SELATAN 23773",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","TENAGA MURNI, PT","JL. MERDEKA, PASAR, KEC. TAPAK TUAN, KAB. ACEH SELATAN 23711",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKO GROSIR <AMIRON ALI>,"JL. T TUAN MEULABOH, SIMPANG III, KEC. SAWANG, KAB. ACEH SELATAN 23753",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKO GROSIR SEMBAKO <YASNI>,"DUSUN SUKA DAMAI, BARU, KEC. SAMA DUA, KAB. ACEH SELATAN 23752",77718353
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","FADHIL, UD","LW LONING HAKHAPEN DUSUN D HARAPAN, LAWE LONING HAKHAPEN, KEC. LAWE SIGALA-GALA, KAB. ACEH TENGGARA 24673",60630999
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","MATRA, UD <ABDI>","PERAPAT TIMUR DUSUN SAUDARA, PERAPAT TIMUR, KEC. LAWE BULAN, KAB. ACEH TENGGARA 24651",97749260
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","ALFARISI RIZKI ABADI, PT","JL. TERMINAL TERPADU NO 10 , KUTA RIH, KEC. BABUSSALAM, KAB. ACEH TENGGARA 24651",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","BERSAMA, UD","JL. LAWE RUTUNG, LAWE RUTUNG, KEC. LAWE BULAN, KAB. ACEH TENGGARA 24651",82383605
