Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon,Email,Website
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD,"DSN CEMARA INDAH, AMERIA BAHAGIA, KEC. SIMEULUE TIMUR 23801",0650-8001070; 0650-8001070,rsud_kab.simeulue@yahoo.co.id,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,"KLINIK DELIMA MAKMUR, PT","TEHNIK PT DELIMA MAKMUR DSN IV, SITUBAN MAKMUR, KEC. DANAU PARIS",081260252321,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK PERKEBUNAN,"LAE GOMBAR, SAMAR DUA, KEC. KOTA BAHARU 23784",082304449035,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD ACEH SINGKIL,"KELASIR, GUNUNG LAGAN, KEC. GUNUNG MERIAH 23784",0658-21878; 0658-21878,rsudacehsingkil@yahoo.com,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD H HASANUDIN,"JL KUTACANE BELANG KEJEREN, TANAH MERAH, KEC. BADAR 24652",,rsud_sahudin@yahoo.co.id,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD DR ZUBIR MAHMUD,"JL MEDAN BANDA ACEH KM 386, SEUNEUBOK BARAT, KEC. IDI TIMUR 24454",0646-21146 Ext: 2; 0646-21051,rsud.idi@gmail.com,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,BLUD DATU BERU TAKENGON,"JL RSUD DATU BERU, BUKIT, KEC. KEBAYAKAN 24519",,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD CUT NYAK DHIEN,"JL GAJAH MADA, DRIEN RAMPAK, KEC. JOHAN PAHLAWAN 23617",0655-7551275; 0655-7557274,rsucnd@gmail.com,www.rsucnd.acehbaratkab.go.id
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUS MONTELLA,"JL BERINGIN JAYA, SEUNEUBOK, KEC. JOHAN PAHLAWAN 23611",,montella_rsus@yahoo.co.id,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT HARAPAN SEHAT,"JL SISINGAMANGARAJA, GAMPA, KEC. JOHAN PAHLAWAN 23611",085260859947,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK RANUP PEUNAWA MEDICAL,"DSN COT SAREUNG, LAMPEUNEURUT UJONG BLANG, KEC. DARUL IMARAH 23352",085262512324,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS IBNU SINA,"DSN KRUENG ACEH, SINYEU, KEC. INDRAPURI 23363",0651-8070469,rsibnusinaabes@gmail.com,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,CITRA HUSADA,"DSN ABADI, LAMPEUDEU BAROH, KEC. PIDIE 24151",0653-7829679,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK ARRAHMAN,"JL BANDA ACEH MEDAN KM 123, BLANG LILEUE, KEC. MUTIARA 24173",,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT MUFID,"JL PROF A MAJID IBRAHIM, BLOK SAWAH, KEC.",,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT TUNGKU ABDULLAH SYAFI'I,"JL BANDA ACEH MEDAN, GAMPONG LADA, KEC. MUTIARA TIMUR 24173",0653-821576; 0653-821576,rsud.tas@gmail.com,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM SIGLI CHIK DI TIRO,"JL PROF A MAJID IBRAHIM SIGLI, LAMPEUDEU BAROH, KEC. PIDIE 24151",,rsu-sigli@yahoo.com,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS TELAGA BUNDA,"JL PETUA BANTA, BIREUN MEUNASAH BLANG, KEC.",,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU BIREUEN MEDICAL CENTER,"JL BIREUEN TAKENGON DSN JEUMPA PUTEH, JULI SEUTUY, KEC. JULI 24251",0644-323055; 0644-323155,rs-bmc250511@yahoo.com,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU FAUZIAH BIREUEN,"JL T HAMZAH BENDAHARA, KOTA BIREUN, KEC.",,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSU MALAHAYATI BIREUN,"JL MEDAN BANDA ACEH, BIREUN MEUNASAH BLANG, KEC. KOTA JUANG 24251",0644-21292,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT,"JL SP MATANG, SANGSO, KEC. SAMALANGA 24264",085207861177,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT AVICENNA,"DSN MULIA, LHOK AWE TEUNGOH, KEC. KOTA JUANG 24251",,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK PIM,"JL SINGGALANG KOMPLEK PIM, TAMBON TUNONG, KEC. DEWANTARA 24354",0645-8051106,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS PRIMA INTI MEDIKA,"JL SINGGALANG KOMPLEK PIM, TAMBON TUNONG, KEC. DEWANTARA 24354",0645-8051106,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,PRAKTEK BIDAN <ASNAWATI>,"JL RAWA SAKTI, TANGAH, KEC. SUSOH 23765",085260484399,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS TEUKU PEUKAN,"JL LETKOL BB DJALAL, GEULIMA JAYA, KEC. SUSOH 23675",,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PINING,"DSN BENTENG, PINING, KEC. PINING 24655",,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT UMUM,"PANGUR, KEC. DABUN GELANG",,rsugayolues@gmail.com,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD ACEH TAMIANG,"DSN SETIA, KESEHATAN, KEC. KARANG BARU 24476 .",0641-332983,rs_tamiang@yahoo.co.id,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PERTAMINA RANTAU,"JL CEPU, KAMP PERTAMINA, KEC. RANTAU 24474",0641-350185; 0641-350185,rspertaminarantau@gmail.com,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD NAGAN RAYA,"JL TAPAK TUAN-MEULABOH, UJONG FATIHAH, KEC. KUALA",,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT TEUKU UMAR,"DSN BATE LHEE, KEUTAPANG, KEC. KRUENG SABEE",082166414927,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RSUD MUYANG KUTE,"DSN UMAH GEMOK, SERULE KAYU, KEC. BUKIT 24581",085277007147,rsumuyangkute@yahoo.co.id,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RUMAH SAKIT PIDIE JAYA,"DAYAH TIMU, DAYAH TIMU, KEC. MEUREUDU 24186",,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK GINJAL NADIRAH,"JL SINGGAH MATA, SUKARAMAI, KEC. BAITURRAHMAN 23243",,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,KLINIK LAB PRODIA,"JL TM DAUD BEUREUEH, BEURAWE, KEC. KUTA ALAM 23124",081382838698,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,PRAKTEK KLINIK DOKTER SPESIALIS,"JL TGK HM DAUD BEUREUEH NO 156, BEURAWE, KEC. KUTA ALAM",0651-31105,cempaka_lima@yahoo.com,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS BHAYANGKARA,"JL CUT NYAK DHIEN NO 23, LAMTEMEN BARAT, KEC. JAYA BARU 23230",0651-41470,,
ACEH,AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,RS HARAPAN BUNDA,"JL T UMAR NO 181, SEUTUI, KEC. BAITURRAHMAN 24124",0651-48114; 0651-48114,rsharapanbunda@yahoo.co.id,
