Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
SUMATERA UTARA,INDUSTRI PENGOLAHAN,"BINTANG MAS, UD","JL SEKOLAH NO 3, PURWODADI, KEC. SUNGGAL, KAB. DELI SERDANG",61-77382224
SUMATERA UTARA,INDUSTRI PENGOLAHAN,"PORENGO, PT","JL PERINTIS, PURWODADI, KEC. SUNGGAL, KAB. DELI SERDANG 20351",
SUMATERA UTARA,INDUSTRI PENGOLAHAN,"SABARITHA PERKASA ABADI, PT","AEK POPO, NAGALINGGA, KEC. MEREK, KAB. KARO 22172",628-323155
SUMATERA UTARA,INDUSTRI PENGOLAHAN,"SUBUR SARI LASDERICH, PT","JL SIBORONG BORONG DOLOK SANGGUL, NAGASARIBU V, KEC. LINTONG NIHUTA, KAB. HUMBANG HASUNDUTAN 22475",
RIAU,INDUSTRI PENGOLAHAN,"BUMI ENERGI HIJAU, PT","JL REL LAMA RT. 03/RW. 01, PALAS, KEC. RUMBAI, KOTA PEKANBARU 28264",085270111231
RIAU,INDUSTRI PENGOLAHAN,COSMIC INDONESIA,"JL HANG NADIM RT. 04/RW. 01, TUALANG, KEC. TUALANG, KAB. S I A K 28772",0761-9146591466
RIAU,INDUSTRI PENGOLAHAN,"F S P S I, PT","JL PEKANBARUDURI KM 66KANDIS RT. 01/RW. 02, SIMPANG BELUTU, KEC. KANDIS, KAB. S I A K 28686",
RIAU,INDUSTRI PENGOLAHAN,"HASRAT TATA JAYA, PT","JL BATU BELAH DSN 1, BATU BELAH, KEC. KAMPAR, KAB. KAMPAR 28461",
RIAU,INDUSTRI PENGOLAHAN,"PATRA SK, PT","JL PUTRI TUJUH AREA KILANG PERTAMINA RU II, TANJUNG PALAS, KEC. DUMAI TIMUR, KOTA D U M A I 28816",0765-36858; 0765-33374
RIAU,INDUSTRI PENGOLAHAN,"PERTAMINA (PERSERO), PT","JL CENDANA RT. 04/RW. 04, SUNGAI PAKNING, KEC. BUKIT BATU, KAB. BENGKALIS 28761",
RIAU,INDUSTRI PENGOLAHAN,PERTAMINA REFINERY,"JL KILANG MINYAK PUTRI TUJUH, TELUK BINJAI, KEC. DUMAI TIMUR, KOTA D U M A I 28815",0765-443572; 0765-35567
RIAU,INDUSTRI PENGOLAHAN,"SAPTA KARYA, PT","JL LINTAS TIMUR RT. 07/RW. 02, KULIM, KEC. TENAYAN RAYA, KOTA PEKANBARU 28286",085265886564
SUMATERA SELATAN,INDUSTRI PENGOLAHAN,"BUKIT ASAM TBK, PT","JL PARIGI NO 1, LINGGA, KEC. LAWANG KIDUL, KAB. MUARA ENIM 31716",0734-451096; 0734-451095
SUMATERA SELATAN,INDUSTRI PENGOLAHAN,SAMTAN GAS,"KOMPERTA SUNGAI GERONG NO 1 RT. 03/RW. 01, SUNGAI GERONG, KEC. BANYUASIN I, KAB. BANYU ASIN 30962",08117100620
SUMATERA SELATAN,INDUSTRI PENGOLAHAN,"SURYA ESA PERKASA, PT","JL RAYA PALEMBANGINDRALAYA KM 17 RT. 04, SUNGAI RAMBUTAN, KEC. INDRALAYA UTARA, KAB. OGAN ILIR 30662",0711-7744597; 0711-7744596
LAMPUNG,INDUSTRI PENGOLAHAN,"BIMA SAKTI BAKTI PERSADA, PT","DSN BATU PAYUNG RT. 01/RW. 02, TARAHAN, KEC. KATIBUNG, KAB. LAMPUNG SELATAN 35452",082880664880
LAMPUNG,INDUSTRI PENGOLAHAN,"BRIKET BATU BARA BUKIT ASAM (PERSERO), PT","PEMANGGILAN, KEC. NATAR, KAB. LAMPUNG SELATAN 774266",082384460305
LAMPUNG,INDUSTRI PENGOLAHAN,"FEERE MAN KARBON IND, PT","DSN HADUYANG INDUK, HADUYANG, KEC. NATAR, KAB. LAMPUNG SELATAN",0721-7696139; 0721-7696138
LAMPUNG,INDUSTRI PENGOLAHAN,"SMOE INDONESIA BATAM FABRICATION YARD, PT","JL RAYA NATAR KM 16 NO 39, PEMANGGILAN, KEC. NATAR, KAB. LAMPUNG SELATAN 36352",0721-783558; 0721-774266
LAMPUNG,INDUSTRI PENGOLAHAN,UNIT PENGOLAHAN ASPAL <PU PROP>,"JL SOEKARNO HATTA RT. 14, WAY LAGA, KEC. SUKABUMI, KOTA BANDAR LAMPUNG 95245",
KEPULAUAN BANGKA BELITUNG,INDUSTRI PENGOLAHAN,"LEMBAWAI MAKMUR, PT","DSN SEMUJUR ATAS RT. 11, BATU BELUBANG, KEC. PANGKALAN BARU, KAB. BANGKA TENGAH 33171",081394905191
KEPULAUAN RIAU,INDUSTRI PENGOLAHAN,CITRA ENGINEERING,"HANG KESTURI III B KABIL, BATU BESAR, KEC. NONGSA, KOTA B A T A M",0778-711368; 0778-711425
