Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon,Email,Website
ACEH,PENGANGKUTAN DAN PERGUDANGAN,"MASKAPAI PENERBANGAN WINGS AIR, PT","DSN LAA YAO, LASIKIN, KEC. TEUPAH TENGAH 23891",,,
ACEH,PENGANGKUTAN DAN PERGUDANGAN,PELABUHAN SINABANG,"JL NASIONAL NO. 212 RT. 01, SINABANG, KEC. SIMEULUE TIMUR 23891",081265627004,,
ACEH,PENGANGKUTAN DAN PERGUDANGAN,KANTOR POS,"DSN ITA MENGITA , AIR DINGIN, KEC. SIMEULUE TIMUR 23891",081370700795,,
ACEH,PENGANGKUTAN DAN PERGUDANGAN,KANTOR POS CABANG KAMPUNG AIE,"DSN BENGGEK, KAMPUNG AIE, KEC. SIMEULUE TENGAH 23894",085277937364,,
ACEH,PENGANGKUTAN DAN PERGUDANGAN,"ANUGRAH JAYA, PT","KOMPLEK TERMINAL TERPADU RIMO, SIANJO ANJO MERIAH, KEC. GUNUNG MERIAH 24784",081533165419,,
ACEH,PENGANGKUTAN DAN PERGUDANGAN,"MENTARI JAYA, PT","KOMPLEK TERMINAL TERPADU RIMO, SIANJO ANJO MERIAH, KEC. GUNUNG MERIAH 24784",085658423062,,
ACEH,PENGANGKUTAN DAN PERGUDANGAN,"PUSAKA BARU, PT","KOMPLEK TERMINAL TERPADU RIMO, SIANJO ANJO MERIAH, KEC. GUNUNG MERIAH 24784",082162546288,,
ACEH,PENGANGKUTAN DAN PERGUDANGAN,"ASDP INDONESIA FERRY CABANG SINABUNG, PT (PERSERO)","JL KOL YOS SUDARSO 94 PASAR KOTA, PULO SAROK, KEC. SINGKIL",0658-21381; 0658-21381,,
ACEH,PENGANGKUTAN DAN PERGUDANGAN,"ASDP INDONESIA FERRY, PT (PERSERO)","KOMPLEK PELABUHAN PENYEBERANGAN SINABANG, PULO SAROK, KEC. SINGKIL",,,
ACEH,PENGANGKUTAN DAN PERGUDANGAN,PELABUHAN PULAU SAROK SINGKIL,"JL UTAMA NO. 20 , PULO SAROK, KEC. SINGKIL",,,
ACEH,PENGANGKUTAN DAN PERGUDANGAN,KANTOR POS,"JL ISKANDAR MUDA, RIMO, KEC. GUNUNG MERIAH",082277368681,,
ACEH,PENGANGKUTAN DAN PERGUDANGAN,"POS INDONESIA, PT","JL AHMAD YANI, PASAR SINGKIL, KEC. SINGKIL 24785",081396188492,,
ACEH,PENGANGKUTAN DAN PERGUDANGAN,"KASET, PT","KOMPLEK TERMINAL TERPADU, HILIR, KEC. TAPAK TUAN 23717",082277027363,,
ACEH,PENGANGKUTAN DAN PERGUDANGAN,"MANDALA TOUR, CV","KOMPLEK TERMINALTERPADU, HILIR, KEC. TAPAK TUAN 23717",081282638486,,
