Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","WIRA SUKSES MOTOR, CV","DUSUN ITA UMENGITA, AIR DINGIN, KEC. SIMEULUE TIMUR, KAB. SIMEULUE 23891",24501628
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","KURNIA PUTRA MANDIRI, PT","JL. TR ANGKASAH DUSUN 1, LAE BUTAR, KEC. GUNUNG MERIAH, KAB. ACEH SINGKIL 23784",61234878
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKO JUAL MOBIL <RIZA>,"JL. ISKANDAR MUDA DUSUN 1, RIMO, KEC. GUNUNG MERIAH, KAB. ACEH SINGKIL 23784",60418605
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",ZE512 SINGKIL <ZAILANI>,"PUL O SAROK, PULO SAROK, KEC. SINGKIL, KAB. ACEH SINGKIL 24785",70143001
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","JJ.ONE MOTOR, CV <IKHWAN>","DUSUN MAKMUR , GELUMBUK, KEC. KLUET SELATAN, KAB. ACEH SELATAN 23772",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","MEDALI MOTOR ANDALAN, PT","JL. MERDEKA, PASAR, KEC. TAPAK TUAN, KAB. ACEH SELATAN 23711",76554833
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",SHOWROOM MEUTHUAH JAYA <ROMI>,"DUSUN SURYA INDAH, KUTA TRIENG, KEC. LABUHAN HAJI BARAT, KAB. ACEH SELATAN 23757",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",BENGKEL AHAS MOTOR,"LAWE MEJILE, LAWE MEJILE, KEC. SEMADAM, KAB. ACEH TENGGARA 24673",37826530
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","CAPELLA DINAMIK NUSANTARA, PT","JL. AHMAD YANI, KOTA KUTACANE, KEC. BABUSSALAM, KAB. ACEH TENGGARA 24651",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKO GARUDA <SUPARMIN>,"DUSUN PENGASIH, SABILUSSALAM, KEC. BABUL MAKMUR, KAB. ACEH TENGGARA 24673",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","CBR, PT","JL. MEDAN BANDA ACEH, TANOH ANOU, KEC. IDI RAYEUK, KAB. ACEH TIMUR 24454",60000080
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",CENTRAL MOTOR <NIDARLI>,"JL. MEDAN BANDA ACEH, GAMPONG ACEH, KEC. IDI RAYEUK, KAB. ACEH TIMUR 24454",62466156
