Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,SARTIKA HOTEL,"JL RAJA BINTANG NO 3, MBARUNG, KEC. BABUSSALAM 24651",082299077118
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,RENGGALI HOTEL,"JL DEDALU - BINTANG, ONE-ONE, KEC. LUT TAWAR",0643-21144
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"MEULIGOE GAJAH PUTEH, PT","JL ISKANDAR MUDA NO 36, UJUNG KALAK, KEC. JOHAN PAHLAWAN 23613",0655-7007171
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,TIARA HOTEL,"JL TEUKU UMAR DSN JEUMPA, UJUNG KALAK, KEC. JOHAN PAHLAWAN 23613",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,KFC CABANG MEULABOH,"JL MANEK R00 NO 135-138, DRIEN RAMPAK, KEC. JOHAN PAHLAWAN 23617",081905332573
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,THE PADE HOTEL,"JL SOEKARNO HATTA NO 1, DAROY KAMEU, KEC. DARUL IMARAH 23352",0651-49999; 0651-47999
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,BAKSO NANGGROE <SUWIRNA>,"JL LAKSAMANA MALAHAYATI KM 6, CADEK, KEC. BAITUSSALAM 23373",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,KFC,"JL MATA IE DSN LAMBHEU BARAT KEUTAPANG, LAM BHEU, KEC. DARUL IMARAH 23352",081360921500
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,AYAM LEPAS,"JL RAYA PULO ARA, PULO ARA GEUDONG TEUNGOH, KEC. KOTA JUANG 24251",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,KATERING <HJ YULRIAH>,"JL PROF ISMUHA, BIREUN MEUNSAH TGK DIGADONG, KEC. KOTA JUANG 24211",081360055299
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,WARUNG AROMA,"JL SULTAN ISKANDAR MUDA RT. 11, BIREUN MEUNASAH CAPA, KEC. KOTA JUANG 24251",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,CANDEN KOPI,"JL MEDAN BANDA ACEH, KUTA LHOKSUKON, KEC. LHOKSUKON 24382",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,KEMANG WARKOP,"MNS PANTON, KOTA PANTON LABU, KEC. TANAH JAMBO AYE 24394",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,GRAND ARYA HOTEL,"DSN DAMAI, DALAM, KEC. KARANG BARU 24476",0641-32200; 0641-32200
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,AYAM PENYET DJOGJA,"DSN TENGAH, KESEHATAN, KEC. KARANG BARU 24476",081360081752
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,SAMALANGA RUMAH MAKAN,"DSN BATANG MEUKU, MEDANG ARA, KEC. KARANG BARU 24476",085270979878
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,BAKSO BAROKAH <SISWANTO>,"DSN TENGAH, REJE GURU, KEC. BUKIT 24581",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"61 NUSANTARA, PT","JL T PANGLIMA POLEM NO 20, LAKSANA, KEC. KUTA ALAM 23122",0651-638877; 0651-638855
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,88 HOTEL,"JL SYIAH KUALA NO 88, BANDAR BARU, KEC. KUTA ALAM 23126",0052-075770388
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"CAKRADONYA HOTEL (GANDA CENDANA ANDALAS, PT)","JL CHAIRIL ANWAR NO 55, PEUNAYONG, KEC. KUTA ALAM",0651-065133633; 0651-23879
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,DIANA HOTEL,"JL T. HAMZAH BENDAHARA NO 80, KUTA ALAM, KEC. KUTA ALAM 23124",0651-636634; 0651-63540
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,GRAND PENEMAS 2 HOTEL,"JL POETEUMEURUHOM , KUTA ALAM, KEC. KUTA ALAM 23121",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"GRAND PERMATA HATI, CV","JL SULTAN ISKANDAR MUDA NO.17 BLANG OI, BLANG OI, KEC. MEURAXA 23233",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,HERMES PALACE HOTEL,"JL P NYAK MAKAM LAMBHUK, LAMBHUK, KEC. ULEE KARENG",0651-7555888; 0651-0657556999
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,HIP HOP HOTEL,"JL KANTOR DESA, KP BARU, KEC. BAITURRAHMAN 23242",0651-35735
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,KUALA RAJA HOTEL,"JL TGK. DAUD BEREUEH NO 187, BANDAR BARU, KEC. KUTA ALAM",0651-29687; 0651-636033
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,LADING HOTEL,"JL CUT MUTIA NO 19, KP BARU, KEC. BAITURRAHMAN 23242",0651-635123
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,MADINAH HOTEL,"JL DAUD BEUREUEH, BANDAR BARU, KEC. KUTA ALAM 23126",0651-21415; 0651-21416
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,MEDAN HOTEL,"JL AHMAD YANI NO 17, PEUNAYONG, KEC. KUTA ALAM",0651-21501; 0651-23514
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,MEKKAH HOTEL,"JL T DAUD BEUREUEH NO 190, BANDAR BARU, KEC. KUTA ALAM 23126",085213220041
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,OASIS ATJEH HOTEL,"JL T IMEUM LUENG BATA NO 115, BANDA ACEH, LUENG BATA, KEC. LUENG BATA 23247",0651-636999; 0651-635333
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,PAVILIUN SEULAWAH HOTEL,"KP BARU, KEC. BAITURRAHMAN",0651-22788
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,RING ROAD HOTEL,"JL MR MOHD HASAN, BATOH, KEC. LUENG BATA 23245",082313103219
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,SEI HOTEL,"JL TANOH ABE NO 7 KP MULIA , MULIA, KEC. KUTA ALAM 23123",0651-21866; 0651-21899
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,SULTAN HOTEL,"JL SULTHAN HOTEL NO 1, PEUNAYONG, KEC. KUTA ALAM",0651-22469; 0651-31770
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"TRI BANGUN PERKASA, PT","JL TGK IMUM , COT MESJID, KEC. LUENG BATA",0651-2278822872; 0651-35778
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,WISATA HOTEL,"JL JEND AHMAD YANI NO 19-20, PEUNAYONG, KEC. KUTA ALAM 23122",0651-21834
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,WISMA KOMPAS,"JL UTAMA DESA RUKOH DARUSSALAM , KOPELMA DARUSSALAM, KEC. SYIAH KUALA 23111",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,WISMA UNSYIAH,"JL SAMSAMITRA DARUSSALAM , KOPELMA DARUSSALAM, KEC. SYIAH KUALA 23111",081362222476
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"A&W (PRIMA USAHA ERA MANDIRI, PT)","JL T PANGLIMA POLEM NO 28.30.32, LAKSANA, KEC. KUTA ALAM 23127",0651-638822
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,AYAM LEPAS <SUPARTO>,"JL KARTIKA LAMPRIT, BANDAR BARU, KEC. KUTA ALAM 23126",08126974726
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,AYAM PENYET PAK ULIS,"JL T NYAK ARIEF LAMNYONG, LAMGUGOB, KEC. SYIAH KUALA 23115",085362527112
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,BANDA SEAFOOD RESTORAN,"JL ULEE LHEUE SIMPANG RIMA, GAMPONG BLANG, KEC. MEURAXA 23234",081264278278
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"BINTANG SELERA NUSANTARA, PT","JL T UMAR DSN SEROJA, LAMTEMEN TIMUR, KEC. JAYA BARU 23230",087778573265
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,BREAD TALK,"JL TEUKU UMAR DSN SEROJA, LAMTEMEN TIMUR, KEC. JAYA BARU 23230",081362691277
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,CANAI MAMAK KUALA LUMPUR,"JL PROF ALI HASYIMI DSN MAWAR , LAMTEH, KEC. ULEE KARENG 23118",081360256220
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,CATERING <SITI>,"KOMP BLUD, LHONG RAYA, KEC. BANDA RAYA 23238",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,DAPUR RUMAH MAKAN MINANG SAIYO,"JL CHIK GEUMPA I, BEURAWE, KEC. KUTA ALAM 23124",085277543921
